cdatetime,address,district,beat,crimedescr,ucr_ncic_code
0,1928,3,9,2,2404
0,1002,5,14,144,2204
0,2504,2,4,2,2404
0,1116,6,19,151,2501
0,2147,2,4,146,2299
0,3063,6,18,187,2604
0,1142,4,11,145,2299
0,2227,3,9,152,2308
0,2147,2,4,143,2203
0,334,1,2,61,2310
0,1247,6,18,228,7000
0,2988,6,18,187,2604
0,3543,4,13,287,7000
0,4031,3,9,187,2604
0,4307,6,19,165,2605
0,2853,6,18,172,2303
0,3412,6,19,289,7000
0,3142,3,10,171,2308
0,2211,6,17,187,2604
0,3227,4,13,166,2605
1,3182,5,16,145,2299
1,825,2,6,165,2605
1,3459,4,13,156,2399
1,2597,2,4,145,2299
1,484,5,16,294,7000
1,2096,6,18,192,2999
1,2635,5,15,165,2605
1,1710,4,11,155,2309
1,780,5,14,255,7000
1,274,2,4,156,2399
1,4004,4,13,264,7000
1,2403,2,4,144,2204
1,233,3,8,164,2605
1,3755,6,19,181,2799
1,4425,4,13,289,7000
1,2851,1,1,171,2308
1,1301,1,2,213,5309
1,795,3,8,161,2399
1,119,3,10,248,7000
1,2067,1,1,187,2604
1,102,1,2,187,2604
1,2034,1,2,166,2605
1,40,3,10,291,7000
1,2510,3,7,186,2604
2,3435,6,18,103,5213
3,2787,2,4,2,2404
4,2998,6,18,286,7000
5,775,3,7,248,7000
6,3731,4,12,94,1315
7,2406,6,18,266,7000
8,1732,4,12,292,7000
9,98,4,11,2,2404
9,3617,5,16,2,2404
9,4434,4,13,2,2404
10,1734,3,8,71,1299
11,5185,1,3,235,7000
11,3664,6,19,143,2203
12,4076,5,15,103,5213
13,2501,3,7,80,5404
14,1689,3,8,297,5400
15,4395,3,10,240,7000
60,4102,3,9,161,2399
60,3559,6,18,80,5404
60,113,1,2,145,2299
60,5413,1,2,2,2404
60,1494,3,8,145,2299
61,2806,5,15,144,2204
62,4632,5,16,93,1315
62,3649,5,16,2,2404
63,5249,2,6,104,5213
89,1398,5,14,172,2303
90,1881,2,6,235,7000
91,438,1,2,103,5213
92,4869,3,10,264,7000
93,2397,6,17,235,7000
94,4766,2,6,9,3532
94,416,3,10,69,1299
95,1655,1,1,194,2999
96,842,2,6,94,1315
97,4050,5,14,2,2404
97,21,1,1,194,2999
98,4193,5,15,144,2204
99,5235,6,19,298,5400
100,166,3,9,150,2506
101,2586,2,4,101,1315
101,4953,1,1,21,3572
101,1855,1,1,171,2308
101,4305,5,16,145,2299
101,3209,6,18,145,2299
102,4576,4,11,298,5400
102,413,3,9,152,2308
103,4796,5,15,292,7000
104,0,6,18,2,2404
105,5065,5,15,67,5401
