Rank,Name,Platform,Year,Publisher,NA_Sales
1,11007,26,2006.0,359,41.49
2,9327,11,1985.0,359,29.08
3,5573,26,2008.0,359,15.85
4,11009,26,2009.0,359,15.75
5,7346,5,1996.0,359,11.27
6,9715,5,1989.0,359,23.2
7,6723,4,2006.0,359,11.38
8,11005,26,2006.0,359,14.03
9,6726,26,2009.0,359,14.59
10,2590,11,1984.0,359,26.93
11,6793,4,2005.0,359,9.07
12,5572,4,2005.0,359,9.81
13,7333,5,1999.0,359,9.0
14,10999,26,2007.0,359,8.94
15,11000,26,2009.0,359,9.09
16,4917,28,2010.0,323,14.97
17,3712,17,2013.0,494,7.01
18,3716,16,2004.0,494,9.43
19,9341,23,1990.0,359,12.78
20,1005,4,2005.0,359,4.75
21,7331,4,2006.0,359,6.42
22,9334,5,1989.0,359,10.83
23,9329,11,1988.0,359,9.54
24,3712,28,2013.0,494,9.63
25,3717,16,2002.0,494,8.41
26,7347,6,2002.0,359,6.06
27,7325,4,2010.0,359,5.57
28,1003,4,2005.0,359,3.44
29,3693,16,2001.0,456,6.85
30,1228,28,2011.0,21,9.03
31,7369,5,1998.0,359,5.89
32,1222,28,2010.0,21,9.67
33,7354,2,2013.0,359,5.17
34,1223,18,2015.0,21,5.77
35,1224,17,2012.0,21,4.99
36,1224,28,2012.0,21,8.25
37,1227,28,2009.0,21,8.52
38,1228,17,2011.0,21,5.54
39,3710,16,2001.0,494,6.99
40,9417,26,2008.0,359,6.75
41,1222,17,2010.0,21,5.98
42,350,4,2005.0,359,2.55
43,5570,2,2011.0,359,4.74
44,3892,28,2007.0,323,7.97
45,3712,18,2014.0,494,3.8
46,7334,4,2009.0,359,4.4
47,9323,10,1996.0,359,6.91
48,3694,16,2004.0,456,3.01
49,9331,26,2007.0,359,6.16
50,7339,2,2014.0,359,4.23
51,9335,5,1992.0,359,6.16
52,3711,28,2008.0,494,6.76
53,3690,15,1997.0,456,4.02
54,9321,2,2011.0,359,4.89
55,3696,17,2010.0,456,2.96
56,1227,17,2009.0,21,4.99
57,3711,17,2008.0,494,4.76
58,9325,23,1993.0,359,5.99
59,7332,6,2004.0,359,4.34
60,9323,4,2004.0,359,5.08
61,4707,26,2011.0,525,6.05
62,1226,28,2013.0,21,6.72
63,3900,28,2010.0,323,7.03
64,5569,10,1996.0,359,5.55
65,6724,2,2012.0,359,3.66
66,3894,28,2012.0,323,6.63
67,3161,15,1997.0,456,3.01
68,1226,17,2013.0,21,4.09
69,4702,26,2010.0,525,5.84
70,3692,15,1999.0,456,3.88
71,1219,28,2007.0,21,5.91
72,2322,23,1994.0,359,4.36
73,5930,28,2013.0,323,5.58
74,349,2,2012.0,359,2.01
75,5588,4,2007.0,359,4.46
76,9810,28,2011.0,66,5.03
77,9333,23,1992.0,359,3.54
78,2925,18,2015.0,138,1.11
79,11003,26,2010.0,359,1.79
80,3890,29,2004.0,323,6.82
81,5585,26,2007.0,359,3.81
82,7324,4,2012.0,359,2.91
83,2940,17,2012.0,138,1.06
84,10074,13,2009.0,138,0.98
85,3666,10,1997.0,359,5.8
86,5558,26,2007.0,446,2.58
87,3164,16,2001.0,456,2.91
88,3163,15,1999.0,466,2.28
89,7366,4,2008.0,359,2.82
90,7026,0,1982.0,53,7.28
91,3714,19,2005.0,494,2.9
92,9332,26,2010.0,359,3.66
93,9068,18,2015.0,138,2.93
94,1221,18,2014.0,21,2.8
95,9967,10,1998.0,359,4.1
96,1662,15,1997.0,456,3.78
97,9328,11,1988.0,359,5.39
98,9419,2,2014.0,359,3.24
99,1235,28,2008.0,21,4.79
100,720,28,2011.0,138,4.46
101,9977,26,2006.0,359,3.83
102,1223,30,2015.0,21,4.52
103,4701,26,2009.0,525,3.51
104,720,17,2011.0,138,2.85
105,6668,16,2003.0,138,3.27
106,9657,15,1998.0,456,3.27
107,1664,15,1998.0,456,3.68
108,9418,7,2001.0,359,4.41
109,5571,27,2014.0,359,3.13
110,2982,18,2015.0,66,2.47
111,5574,7,2003.0,359,4.12
112,4708,26,2012.0,525,4.14
113,2923,17,2013.0,138,0.78
114,6669,16,2004.0,138,2.71
115,5695,16,2002.0,138,2.93
116,10637,17,2011.0,456,2.77
117,1661,15,1996.0,456,3.23
118,11461,26,2010.0,6,3.5
119,3512,28,2008.0,323,4.15
120,10636,17,2009.0,456,3.27
121,1219,17,2007.0,21,3.1
122,2922,17,2011.0,138,0.84
123,798,4,2005.0,359,1.67
124,7824,17,2010.0,494,2.79
125,2924,18,2014.0,138,0.79
126,2327,26,2010.0,359,3.25
127,9810,17,2011.0,66,2.55
128,9959,11,1986.0,359,3.74
129,492,17,2012.0,525,2.64
130,3898,29,2001.0,323,4.98
131,7362,6,2004.0,359,2.57
132,4941,16,2002.0,456,3.64
133,7361,5,2000.0,359,2.55
134,3893,28,2009.0,323,4.34
135,7824,28,2010.0,494,3.7
136,9340,7,2002.0,359,4.01
137,9187,23,1992.0,85,2.47
138,11177,13,2004.0,21,0.07
139,2569,15,1999.0,177,3.11
140,4920,28,2010.0,323,3.92
141,3513,28,2011.0,323,4.05
142,3511,28,2006.0,323,3.54
143,5819,16,2001.0,275,2.45
144,8866,8,1992.0,446,4.47
145,5823,17,2008.0,275,2.63
146,5818,15,1998.0,275,3.18
147,9939,17,2013.0,458,2.41
148,3178,16,2006.0,465,1.88
149,5234,17,2008.0,456,2.8
150,2477,4,2009.0,359,0.66
151,5120,26,2007.0,288,3.66
152,7866,15,1998.0,542,1.88
153,9656,15,1996.0,456,2.26
154,1617,4,2006.0,6,3.13
155,2073,18,2014.0,21,2.49
156,9715,11,1988.0,359,2.97
157,490,17,2009.0,525,2.54
158,9416,10,1999.0,359,2.95
159,487,28,2007.0,525,3.28
160,671,17,2011.0,549,2.7
161,3288,28,2009.0,323,2.99
162,6058,19,2008.0,85,0.47
163,9324,6,2001.0,359,3.14
164,5575,6,2001.0,359,2.62
165,9341,6,2001.0,359,3.21
166,7351,10,1999.0,359,3.18
167,1235,17,2008.0,21,2.72
168,1667,16,2001.0,529,2.07
169,5930,17,2014.0,456,1.97
170,3181,17,2009.0,465,1.74
171,2393,5,1989.0,359,2.18
172,7340,5,1999.0,359,3.02
173,492,28,2012.0,525,3.13
174,3150,15,2000.0,466,1.62
175,3167,16,2003.0,138,1.92
176,2319,10,1999.0,359,3.33
177,490,28,2009.0,525,3.1
178,7551,4,2007.0,359,1.22
179,10334,15,1997.0,137,2.3
180,5448,16,,138,4.26
181,2493,16,2004.0,465,0.65
182,2121,13,2012.0,21,2.43
183,9329,6,2003.0,359,2.93
184,6725,27,2012.0,359,2.32
185,9336,5,1994.0,359,2.49
186,2940,28,2012.0,138,1.08
187,9970,4,2007.0,359,1.9
188,2324,23,1995.0,359,2.1
189,10344,2,2013.0,359,0.96
190,5558,4,2008.0,446,1.64
191,5697,16,2003.0,138,1.98
192,4980,5,1992.0,359,2.71
193,2961,28,2010.0,323,3.59
194,1221,30,2014.0,21,3.21
195,5884,13,1996.0,323,3.22
196,3795,16,2006.0,426,3.81
197,7871,17,2009.0,85,1.96
198,3712,30,2014.0,494,2.66
199,3718,19,2006.0,494,1.7
200,2939,17,2010.0,138,0.6
201,9327,5,1999.0,359,3.4
202,7862,15,1996.0,542,2.05
203,10356,15,1999.0,21,3.42
204,9419,27,2014.0,359,2.59
205,10937,15,1999.0,137,2.79
206,9025,15,1998.0,456,3.36
207,5213,26,2007.0,359,3.06
208,3796,16,2007.0,21,3.49
209,2979,28,2008.0,66,3.39
210,7336,4,2007.0,359,1.85
211,10639,17,2007.0,456,2.31
212,5432,16,2005.0,138,3.98
213,5120,4,2007.0,288,2.89
214,2128,10,1997.0,359,2.91
215,6057,19,2010.0,85,0.0
216,2393,11,1990.0,359,2.62
217,3630,17,2010.0,456,2.74
218,9119,13,2010.0,21,2.56
219,487,17,2007.0,525,1.91
220,2924,17,2014.0,138,0.57
221,1674,15,1999.0,456,2.57
222,2926,18,2016.0,138,0.28
223,671,28,2011.0,549,2.99
224,2571,15,2000.0,53,2.36
225,10057,16,2003.0,545,1.73
226,10357,15,2000.0,21,3.05
227,347,26,2008.0,359,1.87
228,9990,16,2002.0,138,1.94
229,3290,28,2011.0,323,2.08
230,10331,15,1996.0,137,2.29
231,3796,26,2007.0,21,3.06
232,9961,23,1991.0,359,2.42
233,9975,7,2002.0,359,2.6
234,5559,26,2009.0,446,1.89
235,5316,2,2013.0,359,1.78
236,8973,27,2015.0,359,1.55
237,9939,18,2014.0,456,1.78
238,3796,28,2007.0,21,3.19
239,5449,16,2004.0,138,4.18
240,7278,0,1981.0,21,4.21
241,5433,16,2006.0,138,3.63
242,8961,16,2002.0,21,2.71
243,2492,15,2000.0,144,0.2
244,10641,18,2015.0,456,1.96
245,1221,17,2014.0,21,1.54
246,3627,16,2005.0,456,2.71
247,6788,27,2012.0,359,2.55
248,5875,26,2010.0,525,2.67
249,10359,16,2001.0,21,2.66
250,11035,16,2006.0,275,0.1
251,9808,28,2006.0,494,2.82
252,11403,11,1987.0,359,2.19
253,6673,16,2005.0,138,2.03
254,7896,17,2006.0,456,1.73
255,8865,8,1991.0,446,3.03
256,4944,16,2005.0,465,2.2
257,2923,28,2013.0,138,0.92
258,1221,28,2014.0,21,2.75
259,509,0,1980.0,53,4.0
260,2960,28,2008.0,323,2.51
261,3895,30,2015.0,323,2.64
262,9322,27,2013.0,359,2.11
263,670,17,2009.0,137,2.23
264,499,17,2011.0,525,1.41
265,6550,6,2001.0,347,3.0
266,5821,16,2004.0,275,1.46
267,1936,19,2006.0,456,2.45
268,10893,13,1995.0,21,1.7
269,9967,2,2011.0,359,2.03
270,2933,16,2005.0,138,0.78
271,2875,16,2003.0,456,0.88
272,10638,18,2016.0,456,1.3
273,3697,17,2007.0,456,1.28
274,499,28,2011.0,525,2.25
275,9188,17,2009.0,85,2.02
276,2922,28,2011.0,138,0.84
277,9639,11,1989.0,385,3.38
278,2853,11,1984.0,359,2.04
279,3329,15,1997.0,214,3.79
280,5447,16,2002.0,138,3.36
281,10940,18,2014.0,525,1.4
282,3884,13,1997.0,545,4.03
283,9342,23,1995.0,359,1.65
284,2934,16,2006.0,138,0.71
285,9971,26,2011.0,359,2.14
286,9184,23,1992.0,85,1.42
287,1281,26,2007.0,494,2.13
288,2982,30,2015.0,66,2.45
289,11181,13,2007.0,21,2.57
290,2986,28,2010.0,66,2.65
291,3629,16,2007.0,456,2.32
292,3287,28,2007.0,323,2.35
293,11152,16,2005.0,275,0.12
294,6560,15,1996.0,456,2.28
295,9663,16,2000.0,347,1.68
296,3044,18,2014.0,525,1.12
297,9042,10,1997.0,359,2.78
298,5930,18,2014.0,458,1.38
299,3670,11,1984.0,359,1.22
300,2979,17,2008.0,66,2.15
301,7552,4,2007.0,359,0.92
302,5156,28,2009.0,138,2.67
303,6563,16,2005.0,347,2.08
304,2670,26,2009.0,138,2.1
305,501,18,2014.0,525,1.18
306,2334,5,1994.0,359,1.97
307,10364,16,2003.0,21,2.29
