country,year,sex,age,suicides_no,population
0,1985,0,0,,277900.0
0,1985,0,1,,246800.0
0,1985,0,2,,267500.0
0,1985,0,3,,298300.0
0,1985,0,4,,138700.0
0,1985,0,5,,34200.0
0,1985,1,0,,301400.0
0,1985,1,1,,264200.0
0,1985,1,2,,296700.0
0,1985,1,3,,325800.0
0,1985,1,4,,132500.0
0,1985,1,5,,21100.0
0,1986,0,0,,283900.0
0,1986,0,1,,252100.0
0,1986,0,2,,273200.0
0,1986,0,3,,304700.0
0,1986,0,4,,141700.0
0,1986,0,5,,34900.0
0,1986,1,0,,306700.0
0,1986,1,1,,269000.0
0,1986,1,2,,302000.0
0,1986,1,3,,331600.0
0,1986,1,4,,134800.0
0,1986,1,5,,21400.0
0,1987,0,0,14.0,289700.0
0,1987,0,1,4.0,257200.0
0,1987,0,2,6.0,278800.0
0,1987,0,3,0.0,311000.0
0,1987,0,4,0.0,144600.0
0,1987,0,5,1.0,35600.0
0,1987,1,0,21.0,312900.0
0,1987,1,1,9.0,274300.0
0,1987,1,2,16.0,308000.0
0,1987,1,3,0.0,338200.0
0,1987,1,4,1.0,137500.0
0,1987,1,5,1.0,21800.0
0,1988,0,0,8.0,295600.0
0,1988,0,1,5.0,262400.0
0,1988,0,2,4.0,284500.0
0,1988,0,3,0.0,317200.0
0,1988,0,4,3.0,147500.0
0,1988,0,5,2.0,36400.0
0,1988,1,0,17.0,319200.0
0,1988,1,1,5.0,279900.0
0,1988,1,2,14.0,314100.0
0,1988,1,3,0.0,345000.0
0,1988,1,4,4.0,140200.0
0,1988,1,5,1.0,22300.0
0,1989,0,0,5.0,299900.0
0,1989,0,1,2.0,266300.0
0,1989,0,2,7.0,288600.0
0,1989,0,3,0.0,321900.0
0,1989,0,4,1.0,149600.0
0,1989,0,5,0.0,37000.0
0,1989,1,0,12.0,323500.0
0,1989,1,1,18.0,283600.0
0,1989,1,2,15.0,318400.0
0,1989,1,3,0.0,349700.0
0,1989,1,4,6.0,142100.0
0,1989,1,5,2.0,22500.0
0,1990,0,0,,305900.0
0,1990,0,1,,278000.0
0,1990,0,2,,308300.0
0,1990,0,3,,329600.0
0,1990,0,4,,156400.0
0,1990,0,5,,37600.0
0,1990,1,0,,325600.0
0,1990,1,1,,295100.0
0,1990,1,2,,337700.0
0,1990,1,3,,355600.0
0,1990,1,4,,149700.0
0,1990,1,5,,23200.0
0,1991,0,0,,301100.0
0,1991,0,1,,274700.0
0,1991,0,2,,316500.0
0,1991,0,3,,333300.0
0,1991,0,4,,160800.0
0,1991,0,5,,38300.0
0,1991,1,0,,302200.0
0,1991,1,1,,276900.0
0,1991,1,2,,342600.0
0,1991,1,3,,359500.0
0,1991,1,4,,154800.0
0,1991,1,5,,23600.0
0,1992,0,0,7.0,292400.0
0,1992,0,1,4.0,267400.0
0,1992,0,2,2.0,323100.0
0,1992,0,3,0.0,336700.0
0,1992,0,4,1.0,164900.0
0,1992,0,5,0.0,38700.0
0,1992,1,0,9.0,263700.0
0,1992,1,1,7.0,245500.0
0,1992,1,2,12.0,343800.0
0,1992,1,3,0.0,362900.0
0,1992,1,4,5.0,159500.0
0,1992,1,5,0.0,23900.0
0,1993,0,0,10.0,285300.0
0,1993,0,1,7.0,261800.0
0,1993,0,2,7.0,331200.0
0,1993,0,3,1.0,340300.0
0,1993,0,4,2.0,169500.0
0,1993,0,5,0.0,39300.0
0,1993,1,0,18.0,243300.0
0,1993,1,1,9.0,230100.0
0,1993,1,2,10.0,350300.0
0,1993,1,3,1.0,367000.0
0,1993,1,4,7.0,165000.0
0,1993,1,5,1.0,24200.0
0,1994,0,0,6.0,282600.0
0,1994,0,1,4.0,261100.0
0,1994,0,2,2.0,342500.0
0,1994,0,3,0.0,344400.0
0,1994,0,4,1.0,174600.0
0,1994,0,5,2.0,39900.0
0,1994,1,0,6.0,242200.0
0,1994,1,1,6.0,231400.0
0,1994,1,2,9.0,362800.0
0,1994,1,3,1.0,371800.0
0,1994,1,4,11.0,171400.0
0,1994,1,5,2.0,24600.0
0,1995,0,0,13.0,283500.0
0,1995,0,1,7.0,264000.0
0,1995,0,2,8.0,356400.0
0,1995,0,3,2.0,348700.0
0,1995,0,4,2.0,180400.0
0,1995,0,5,2.0,40800.0
0,1995,1,0,11.0,241200.0
0,1995,1,1,13.0,232900.0
0,1995,1,2,14.0,375900.0
0,1995,1,3,6.0,376500.0
0,1995,1,4,9.0,178000.0
0,1995,1,5,1.0,25100.0
0,1996,0,0,16.0,287700.0
0,1996,0,1,10.0,267900.0
0,1996,0,2,9.0,362000.0
0,1996,0,3,1.0,354100.0
0,1996,0,4,1.0,183100.0
0,1996,0,5,2.0,41200.0
0,1996,1,0,17.0,243600.0
0,1996,1,1,14.0,235300.0
0,1996,1,2,12.0,379600.0
0,1996,1,3,2.0,380400.0
0,1996,1,4,3.0,179900.0
0,1996,1,5,2.0,25400.0
0,1997,0,0,21.0,294000.0
0,1997,0,1,16.0,273900.0
0,1997,0,2,7.0,370100.0
0,1997,0,3,6.0,361800.0
0,1997,0,4,0.0,187000.0
0,1997,0,5,2.0,42100.0
0,1997,1,0,33.0,244400.0
0,1997,1,1,36.0,236000.0
0,1997,1,2,30.0,380800.0
0,1997,1,3,4.0,381500.0
0,1997,1,4,12.0,180300.0
0,1997,1,5,3.0,25400.0
0,1998,0,0,32.0,295600.0
0,1998,0,1,10.0,275300.0
0,1998,0,2,9.0,372100.0
0,1998,0,3,1.0,363800.0
0,1998,0,4,6.0,188200.0
0,1998,0,5,0.0,42300.0
0,1998,1,0,27.0,248800.0
0,1998,1,1,26.0,240400.0
0,1998,1,2,29.0,388200.0
0,1998,1,3,2.0,388400.0
0,1998,1,4,9.0,183800.0
0,1998,1,5,3.0,25800.0
0,1999,0,0,19.0,296800.0
0,1999,0,1,13.0,276500.0
0,1999,0,2,5.0,373600.0
0,1999,0,3,1.0,365200.0
0,1999,0,4,6.0,188800.0
0,1999,0,5,4.0,42400.0
0,1999,1,0,24.0,250600.0
0,1999,1,1,19.0,242300.0
0,1999,1,2,31.0,391100.0
0,1999,1,3,0.0,391300.0
0,1999,1,4,14.0,185200.0
0,1999,1,5,3.0,25900.0
0,2000,0,0,6.0,263900.0
0,2000,0,1,3.0,245800.0
0,2000,0,2,5.0,332200.0
0,2000,0,3,0.0,324700.0
0,2000,0,4,0.0,168000.0
0,2000,0,5,2.0,37800.0
0,2000,1,0,5.0,240000.0
0,2000,1,1,17.0,232000.0
0,2000,1,2,4.0,374700.0
0,2000,1,3,1.0,374900.0
0,2000,1,4,10.0,177400.0
0,2000,1,5,1.0,24900.0
0,2001,0,0,9.0,271359.0
0,2001,0,1,4.0,222771.0
0,2001,0,2,12.0,370191.0
0,2001,0,3,2.0,307356.0
0,2001,0,4,6.0,189799.0
0,2001,0,5,2.0,47254.0
0,2001,1,0,10.0,256039.0
0,2001,1,1,22.0,206484.0
0,2001,1,2,34.0,378826.0
0,2001,1,3,6.0,321556.0
0,2001,1,4,11.0,196670.0
0,2001,1,5,1.0,31044.0
